Process;PPI identifier;PPI name;Calculation of the indicator;PPI Type
P-RFC;RFC-11;Volume of requests for change per successful bidder per application;Number of requests for change per successful bidder per application;Number of requests
P-RFC;RFC-12;Average life time by supplier (Historical);Evolution of average lifetimes of requests for change by supplier. Average of the union of two sets (open requests for change and closed requests for change);Time
P-RFC;RFC-13;Average life time by supplier (Bars);Average times seen by supplier (bar chart) (open requests for change and closed requests for change);Time
P-RFC;RFC-14;Total average life time;Total indicator of the average life time of all suppliers (open requests for change and closed requests for change);Time
P-IM;IM-1;Percentage of incidents resolved in time;Percentage of communicated incidents that are solved in time;Percentage
P-IM;IM-2;Percentage of incidents without categorizing the reason for closure;Percentage of incidents that have been closed without indicating a specific and categorized reason that shows the solution applied to solve the incidence;Percentage
P-IM;IM-3;Percentage of incidents reopened;Percentage of incidents that are reopened because they were not correctly solved;Percentage
P-IM;IM-4;Percentage of incidents claimed with the SLA fulfilled;Percentage of incidents that are claimed to the organization after the resolution time of the SLA has been exceeded;Percentage
P-IM;IM-5;Percentage of incidents pending resolution for more than one week;Percentage of incidents that are not solved one week after they were registered;Percentage
P-IM;IM-6;Percentage of downtime with respect to total SLA;Percentage of time that the incidents are paused with respect to the total time available to the provider;Percentage
P-IM;IM-7;Demanda nueva solicitada de incidencias;Number of new incidents opened in a period of time;Number of incidents
P-IM;IM-8;Demand resolved incidents;Number of incidents solved in a period of time;Number of incidents
P-IM;IM-9;Average incident resolution time;Average resolution time measured in working hours;Time
P-IM;IM-10;Percentage of incidents assigned to the successful bidder with non-compliance within the resolution period that are claimed;Percentage of incidents assigned to the provider that have unfulfilled their resolution time and are claimed with respect to the total of incidents;Percentage
P-IM;IM-11;Percentage of incidents resolved by the successful bidder that are reopened;Percentage of incidents solved by the provider that are reopened with respect to the total number of incidents solved by the provider. An incidence is solved by the provider if the proposal to close the incidence is made by the provider;Percentage
P-IM;IM-12;Decrease in the number of incidents assigned to the successful bidder;Percentage on the deviation of number of incidents assigned to the provider in a period with respect to the number of incidents assigned to the provider in the same period of the previous year;Percentage
P-IM;IM-13;Level of user satisfaction;Sum of all survey results - one for each contact - weighted over the total number of surveys, will be the score achieved in each measurement period for this indicator. In this way, 100% satisfaction would correspond to a maximum of 200 points, and 0% satisfaction would correspond to -50 points;Percentage
P-IM;IM-14;Improved User Service Center maintained ;Maintained improvement of the User Service Centre to the average increase of the IO_10 and IO_11 indicators, comparing them with the results of the same month of the previous year.;Percentage
P-IM;IM-15;Extreme priority incidents with non-conformity in forensic analysis;Every time an issue with extreme priority is closed, the IT organization performs a full forensic analysis. If any of the following circumstances appear in the trial, the penalty provided for in the specific administrative specifications will be applied.;Percentage
P-IM;IM-16;Phone Support Functional Support;Percentage of contacts of the functional support telephone channel attended to within 30 seconds, in relation to the total number of contacts of that channel;Percentage
P-IM;IM-17;Telephone attention Specialized Technical Support;Percentage of specialised technical support telephone channel contacts attended to within 30 seconds, compared to the total number of contacts on that channel;Percentage
P-IM;IM-18;Telephone assistance Supervision;Percentage of contacts on the Supervision telephone channel attended to within 30 seconds, compared to the total number of contacts on that channel;Percentage
P-IM;IM-19;Telephone Assistance User Service Center 20 seconds;Percentage of contacts on the telephone channel attended to within 20 seconds, in relation to the total number of contacts on that channel;Percentage
P-IM;IM-20;Attention self-service channel 2 minutes;Percentage of contacts of the self-service channel attended to within 2 minutes, with respect to the total number of contacts of that channel. Excluding those contacts that are handled through the automatic flows;Percentage
P-IM;IM-21;Telephone Assistance User Service Center 30 seconds;Percentage of contacts on the telephone channel attended to within 30 seconds, in relation to the total number of contacts on that channel;Percentage
P-IM;IM-22;Attention self-service channel 3 minutes;Percentage of contacts of the self-service channel attended to within 3 minutes, with respect to the total number of contacts of that channel. Excluding those contacts that are handled through the automatic flows;Percentage
P-IM;IM-23;User Service Center 20 seconds weekend call;Percentage of contacts of the telephone channel attended to within 20 seconds of the total number of contacts attended to by that channel, on a non-working day or between 8 p.m. and 8 a.m. on a working day. Considerations: Public holidays are considered to be those at a regional or national level;Percentage
P-IM;IM-24;Attention self-service channel 2 minutes on weekends;Percentage of contacts from the self-service channel attended to within 2 minutes, in relation to the total number of contacts attended to by that channel, on a non-working day or between 8 p.m. and 8 a.m. on a working day;Percentage
P-IM;IM-25;Telephony fee;Percentage of contacts with respect to the total number of contacts served by the telephone channel in the period;Percentage
P-IM;IM-26;Self-service fee;Percentage of contacts with respect to the total number of contacts served by the self-service channel in the period. Contacts handled through automatic flows are excluded;Percentage
P-IM;IM-27;Self-service fee with flow;Percentage of contacts recorded by the self-service channel through automatic flows in relation to the total number of contacts attended to in the period;Percentage
P-IM;IM-28;Web technical fee;Percentage of contacts recorded by the technical channel of the total number of contacts handled in the period;Percentage
P-IM;IM-29;Percentage of resolved requests reopened;Percentage of requests resolved by the User Service Center that are reopened by the user, in relation to the total number of requests closed by the User Service Center ;Percentage
P-IM;IM-30;Percentage of assigned requests claimed by user;Percentage of requests assigned to the User Service Center that are claimed by the user, in relation to the total of open requests;Percentage
P-IM;IM-31;Percentage of resolutions at first contact;Percentage of contacts whose request has been resolved in the first contact, with respect to the total number of resolved requests;Percentage
